31002,46303
90490,45080
88690,49529
106495,55278
88478,50983
91927,56369
99318,64514
105665,51393
105665,60253
97726,71415
107268,71415
98371,45676
108107,33460
94380,62429
94380,n/a
94380,61116
64142,92478
16448,65936
94785,41676
94785,68348
94785,n/a
94785,76775
94785,n/a
83835,52075
83835,n/a
94219,58271
94219,62058
94219,n/a
12347,37174
17850,81348
90869,60293
71461,52269
71461,43236
16601,43236
10150,43236
122486,43236
122486,18355
122486,18355
122486,18355
122486,18355
122486,18355
122486,24594
60175,24594
60175,14552
60175,13728
60175,13728
60175,2564
60175,2198
60175,109911
60175,109911
60175,109911
60175,109911
60175,52574
60175,15798
60175,15798
